reviews.rating,reviews,cleaned_reviews,label
5.0,This a fantastic white wine for any occasion! My Favorite White Wine,this a fantastic white wine for any occasion my favorite white wine,1
5.0,"Tart, not sweet...very refreshing and delicious! Yum!!",tart not sweetvery refreshing and delicious yum,1
5.0,I was given this wine so it was a delightful surprise to find that it has a flavorful and delicious taste! A new favorite!!!! A New Favorite!,i was given this wine so it was a delightful surprise to find that it has a flavorful and delicious taste a new favorite a new favorite,1
5.0,"This is a phenomenal wine and my new favorite red. Bold, Flavorful, Aromatic, Delicious",this is a phenomenal wine and my new favorite red bold flavorful aromatic delicious,1
5.0,"4 750ml bottles for the price of two With way less packaging YES PLEASE! I was nervous it was too good to be true and I wouldn't like the wine but it's fantastic! I have to go a bit out of my way to get it (I live near a state line and it isn't sold in my state due to liquor laws) but it's worth it. Yum! Plus, Environmentally Friendly!",ml bottles for the price of two with way less packaging yes please i was nervous it was too good to be true and i wouldnt like the wine but its fantastic i have to go a bit out of my way to get it i live near a state line and it isnt sold in my state due to liquor laws but its worth it yum plus environmentally friendly,1
5.0,I LOVE Becks NA. It tastes just like a regular ale. It smells like one too. It tastes great. It's the only NA that I drink. My friends love it too. It has a great head when you pour. Great Taste,i love becks na it tastes just like a regular ale it smells like one too it tastes great its the only na that i drink my friends love it too it has a great head when you pour great taste,1
2.0,"I would give one more star if it came clean on the bottle and called itself a 'sweet red'. Instead it get's poetic and grandiose about itself when all it is is a blend which (standard practice) gets a dash of grape juice concentrate to sweeten it. It also looses a star for the price, I rather look to the side of my Target's shelves and pick-up a Lambrusco for about 3-4 less. A Sweet Red.",i would give one more star if it came clean on the bottle and called itself a sweet red instead it gets poetic and grandiose about itself when all it is is a blend which standard practice gets a dash of grape juice concentrate to sweeten it it also looses a star for the price i rather look to the side of my targets shelves and pickup a lambrusco for about less a sweet red,0
5.0,Delicious and very affordable ,delicious and very affordable,1
5.0,"This is a very smooth red with Aromas of cocoa, coffee, tobacco sweet black cherry. Bold but soft. I highly recommend this one. Charles & Charles Red Blend",this is a very smooth red with aromas of cocoa coffee tobacco sweet black cherry bold but soft i highly recommend this one charles charles red blend,1
5.0,"Based on positive reviews, I served all of the Fancy Pants varieties at a recent party. My guests and I loved them! Since I am not a wine expert, I will provide some details on this variety from the Fancy Pants website: ...is like sunshine in the glass. Its brisk and bright, with inviting citrus, melon and passion fruit aromas leading to mouthwatering grapefruit and zesty lime flavors with hints of minerality on the palate. Vibrant acidity and a crisp, clean finish make this wine a versatile partner for a wide range of foodsespecially succulent seafood, Mediterranean-style grilled vegetables, and salads. Served well chilled, our Sauvignon Blanc is fun and friendlythe perfect pour for sunny afternoons and picnics. This Wine Made My Party!",based on positive reviews i served all of the fancy pants varieties at a recent party my guests and i loved them since i am not a wine expert i will provide some details on this variety from the fancy pants website is like sunshine in the glass its brisk and bright with inviting citrus melon and passion fruit aromas leading to mouthwatering grapefruit and zesty lime flavors with hints of minerality on the palate vibrant acidity and a crisp clean finish make this wine a versatile partner for a wide range of foodsespecially succulent seafood mediterraneanstyle grilled vegetables and salads served well chilled our sauvignon blanc is fun and friendlythe perfect pour for sunny afternoons and picnics this wine made my party,1
5.0,Nice fruity and sweet taking sparkling wine. Goes great in mimosa. You have to try it to see how you will like it. Even the guys would enjoy this at your wedding! Nice Sparkling Wine Compared To Champagne,nice fruity and sweet taking sparkling wine goes great in mimosa you have to try it to see how you will like it even the guys would enjoy this at your wedding nice sparkling wine compared to champagne,1
5.0,A rich amber Ale with a subtle but noticeable hop character. Great beer to pair with food! Great Nh Beer!,a rich amber ale with a subtle but noticeable hop character great beer to pair with food great nh beer,1
5.0,"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it! Dry-Hopped Ipa!",this light bodied ipa is dry hopped with cascade for a bold and bright hp aroma balanced by a refreshing and crisp ale great for a cookout out day at the beach love it dryhopped ipa,1
5.0,"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it! Dry-hopped Ipa!",this light bodied ipa is dry hopped with cascade for a bold and bright hp aroma balanced by a refreshing and crisp ale great for a cookout out day at the beach love it dryhopped ipa,1
5.0,Great for a perfect summer day or a get together with the girls. Lovely! Try It!,great for a perfect summer day or a get together with the girls lovely try it,1
2.0,I'm not sure if this is a bad bottle or if it was intentionally made effervescent. I don't want bubbles when I drink Pinot Grigio. Goes well with mozzarella string cheese and Cinemasins. Fizzy Pinot Grigio?,im not sure if this is a bad bottle or if it was intentionally made effervescent i dont want bubbles when i drink pinot grigio goes well with mozzarella string cheese and cinemasins fizzy pinot grigio,0
5.0,"Obsessed with this new drink----However, it has been sold out at every Target I have been to lately :( Obsessed",obsessed with this new drinkhowever it has been sold out at every target i have been to lately obsessed,1
5.0,"This is an excellent red wine, not to dry and not real sweet. More of a red blend. Great go with anything anytime. In the right price point as other known brands on the market. Great Wine",this is an excellent red wine not to dry and not real sweet more of a red blend great go with anything anytime in the right price point as other known brands on the market great wine,1
5.0,One of the best Cabernets I had in quite sometime......!!!!!! Excellent Cab......!!!!!!!,one of the best cabernets i had in quite sometime excellent cab,1
